"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006066","alcohol metabolic process","36/788","367/18903",1.86434803194132e-06,0.000292759136409695,0.000236685970243269,"PCSK9/HMGCS2/FMO5/RETSAT/DHRS9/P2RY1/CLCN2/SULT1B1/NAAA/ADH6/ADH1C/PLPP1/BMP6/BMP5/AKR1B10/SQLE/CEL/AKR1C2/SMPD1/MOGAT2/DGAT2/RDH5/CYP27B1/EDNRB/ITPKA/SORD/SCNN1B/APOBR/SULT1A2/SULT1A1/GDPD3/HSD11B2/ACAA2/SULT2B1/BMP2/PCK1",36
"GO:0060601","lateral sprouting from an epithelium","6/788","11/18903",1.9877725271193e-06,0.000302959918692124,0.000244932961545969,"SHH/SULF1/FGFR2/BMP4/BMP7/CELSR1",6
"GO:0072132","mesenchyme morphogenesis","12/788","55/18903",2.1299182399379e-06,0.000315349609124521,0.000254949611878281,"MSX1/LEF1/MSX2/BMP5/TWIST1/MYC/ACVRL1/TMEM100/SOX9/BMP2/SNAI1/BMP7",12
"GO:0048762","mesenchymal cell differentiation","28/788","252/18903",2.41490561593262e-06,0.000342687552394428,0.000277051424674445,"PDPN/MSX1/LEF1/EDNRA/MEF2C/MSX2/GCNT2/BMP5/TCF21/CITED2/TWIST1/WNT2/SHH/LOXL2/GLIPR2/PDCD4/FGFR2/EDNRB/BMP4/TMEM100/AXIN2/SOX9/BCL2/BMP2/FOXA2/SNAI1/BMP7/EDN3",28
"GO:0003203","endocardial cushion morphogenesis","10/788","38/18903",2.44682351188611e-06,0.000342687552394428,0.000277051424674445,"MSX1/MSX2/BMP5/TWIST1/ACVRL1/TMEM100/SOX9/BMP2/SNAI1/BMP7",10
"GO:0060349","bone morphogenesis","16/788","98/18903",2.76639838476003e-06,0.000377249379732275,0.000304993506131438,"SP5/MSX1/MEF2C/MSX2/BMP6/CITED2/TWIST1/SFRP4/STC1/COL27A1/FGFR2/BMP4/SMPD3/AXIN2/SOX9/COMP",16
"GO:0042060","wound healing","40/788","442/18903",3.80396966613512e-06,0.000505440277177235,0.000408631559277133,"PDPN/GRHL3/FAP/SLC11A1/SERPINE2/P2RY1/CLDN1/EREG/SLC7A11/ITGA2/F2RL2/SLC12A2/MSX2/ADTRP/PTK7/SHH/CCN4/PLAU/PAPSS2/FGFR2/SMPD1/SYT7/MMP12/JAML/ACVRL1/AJUBA/CTSG/TYRO3/RAB27A/TNFRSF12A/CDH3/P2RX1/FKBP10/EVPL/COMP/FOXA2/HMOX1/SCUBE1/TAFA5/TIMP1",40
"GO:0001890","placenta development","20/788","150/18903",4.33326887126554e-06,0.000561374982272451,0.000453852897569391,"GJB3/SPP1/LEF1/STC2/MDFI/BMP5/CITED2/WNT2/PTN/STC1/FGFR2/ASCL2/FOSL1/CYP27B1/E2F7/HSD17B2/PLCD3/SNAI1/BMP7/LIF",20
"GO:0030858","positive regulation of epithelial cell differentiation","13/788","69/18903",4.6304010494411e-06,0.00058523751800497,0.000473144959609129,"BMP6/SFRP4/CDKN2B/ACVRL1/CYP27B1/BMP4/ETV4/TMEM100/SOX9/SULT2B1/BMP2/BMP7/LIF",13
"GO:0070482","response to oxygen levels","33/788","337/18903",5.16326660062545e-06,0.000624300005106361,0.000504725673957082,"PLEKHN1/PDPN/PINK1/SLC9A1/CLCA1/FABP1/EDNRA/ITGA2/STC2/SLC29A1/CITED2/TWIST1/HILPDA/ANGPT2/LOXL2/STC1/MYC/CA9/LPAR1/PLAU/ASCL2/ACVRL1/AJUBA/HSD11B2/SLC7A5/ACAA2/PMAIP1/BCL2/BMP2/E2F1/BMP7/HMOX1/MB",33
"GO:0046688","response to copper ion","10/788","41/18903",5.18041301033839e-06,0.000624300005106361,0.000504725673957082,"AOC1/LOXL2/CDK1/SORD/MT2A/MT1E/MT1M/MT1F/MT1G/MT1X",10
"GO:0050673","epithelial cell proliferation","42/788","481/18903",5.37385215900493e-06,0.000632893224726445,0.000511673004613388,"TACSTD2/PROX1/DUSP10/FAP/COL8A1/CLDN1/KIT/EREG/AREG/MEF2C/SPARC/BMP6/BMP5/TWIST1/WNT2/PTN/SHH/LOXL2/SULF1/MYC/CDKN2B/FGFR2/CCND1/MMP12/JAML/ACVRL1/LGR5/PDX1/BRCA2/DACH1/EDNRB/BMP4/HSF4/CDH3/NME1/SOX9/SERPINB5/UHRF1/FUT1/BMP2/HMOX1/APLN",42
"GO:0016331","morphogenesis of embryonic epithelium","20/788","153/18903",5.88335372279461e-06,0.000677500866478259,0.000547736791034445,"GRHL3/PRKACB/SOX4/PTK7/BMP5/CITED2/MTHFD1L/TWIST1/WNT2/SHH/FZD3/SULF1/FGFR2/PDX1/BMP4/JAG2/KAT2A/SOX9/BMP7/CELSR1",20
"GO:0140014","mitotic nuclear division","32/788","325/18903",6.38384808142456e-06,0.000719154364303089,0.000581412250894045,"KIF2C/CDC14A/NUF2/KIF14/NEK2/CENPF/KAT2B/SGO1/NCAPG/EREG/CENPE/MAD2L1/NCAPG2/NPM2/DSCC1/MTBP/KIF18A/CDCA5/CHEK1/MZT1/BMP4/DPF3/BUB1B/KIF23/PKMYT1/SMPD3/CDC6/KIF18B/UBE2S/AURKA/BMP7/EDN3",32
"GO:0032341","aldosterone metabolic process","6/788","13/18903",6.87071128314107e-06,0.000753682855799078,0.000609327381437838,"CLCN2/BMP6/BMP5/EDNRB/SCNN1B/BMP2",6
"GO:0001666","response to hypoxia","30/788","296/18903",6.98123834009181e-06,0.000753682855799078,0.000609327381437838,"PLEKHN1/PINK1/SLC9A1/CLCA1/FABP1/EDNRA/ITGA2/STC2/SLC29A1/CITED2/TWIST1/HILPDA/ANGPT2/LOXL2/STC1/MYC/CA9/PLAU/ASCL2/ACVRL1/AJUBA/HSD11B2/ACAA2/PMAIP1/BCL2/BMP2/E2F1/BMP7/HMOX1/MB",30
"GO:0001837","epithelial to mesenchymal transition","21/788","169/18903",7.76183238782122e-06,0.000817007502075643,0.000660523240013215,"PDPN/MSX1/LEF1/EDNRA/MSX2/GCNT2/BMP5/TWIST1/WNT2/LOXL2/GLIPR2/PDCD4/FGFR2/BMP4/TMEM100/AXIN2/SOX9/BMP2/FOXA2/SNAI1/BMP7",21
"GO:0060485","mesenchyme development","31/788","313/18903",7.88312912076074e-06,0.000817007502075643,0.000660523240013215,"PDPN/MSX1/LEF1/EDNRA/MEF2C/MSX2/GCNT2/PTK7/BMP5/TCF21/CITED2/TWIST1/WNT2/SHH/LOXL2/MYC/GLIPR2/PDCD4/FGFR2/ACVRL1/EDNRB/BMP4/TMEM100/AXIN2/SOX9/BCL2/BMP2/FOXA2/SNAI1/BMP7/EDN3",31
"GO:0060541","respiratory system development","24/788","211/18903",8.37769258248274e-06,0.000851239273773051,0.000688198482523866,"PDPN/HMGCS2/CHI3L1/PROX1/THRB/CLCN2/FGFRL1/LEF1/SLC7A11/ADAMTS2/PTK7/TCF21/WNT2/SHH/FGFR2/MMP12/BMP4/STRA6/RPGRIP1L/SMPD3/SOX9/SIM2/LIF/CELSR1",24
"GO:0035725","sodium ion transmembrane transport","22/788","184/18903",8.89569326636094e-06,0.000886490048197738,0.000716697554658229,"SLC9A1/SLC6A9/PCSK9/CNNM4/SLC9A2/SCN9A/SLC6A6/SLC9A9/SLC4A4/SLC12A2/SLC17A4/SLC28A3/ANK3/ASIC1/TESC/CHP1/SCNN1B/CHP2/FXYD5/SLC4A11/SLC9A7/SLC6A14",22
"GO:0003018","vascular process in circulatory system","28/788","270/18903",9.11951020654439e-06,0.000891647205477604,0.000720866943834095,"HTR1D/SLC6A9/AGT/SLC5A6/SLC6A6/P2RY1/SLC4A4/EDNRA/SLC12A2/SLC22A5/ADRB2/BMP6/SLC29A1/SLC22A3/PTP4A3/PDE3A/SLC2A13/EDNRB/C2CD4A/SCNN1B/SLC7A5/P2RX1/ATP2A3/COMP/EDN3/CLDN5/SLC38A5/CYSLTR1",28
"GO:0051783","regulation of nuclear division","19/788","145/18903",9.65511435309282e-06,0.000926533381069018,0.000749071250006032,"NUF2/NEK2/CENPF/MSX1/EREG/MAD2L1/MSX2/NPM2/MTBP/CHEK1/PDE3A/BMP4/BUB1B/PKMYT1/SMPD3/AURKA/BMP7/EDN3/LIF",19
"GO:0051101","regulation of DNA binding","17/788","121/18903",1.10843392509577e-05,0.00104434629088114,0.00084431904724998,"NEK2/HJURP/MSX1/LEF1/ITGA2/MSX2/MDFI/TWIST1/SRI/KLF4/PDX1/TFAP4/NME1/ZBTB7C/E2F1/LIF/HMOX1",17
"GO:0008212","mineralocorticoid metabolic process","6/788","14/18903",1.15994551494335e-05,0.00106028518669424,0.000857205111426816,"CLCN2/BMP6/BMP5/EDNRB/SCNN1B/BMP2",6
"GO:0050900","leukocyte migration","36/788","398/18903",1.16627278351161e-05,0.00106028518669424,0.000857205111426816,"PADI2/IL6R/CCR2/GPR15/KIT/CXCL1/CXCL3/CXCL2/CXCL11/PTGER4/CCL28/ITGA2/SLC12A2/ADTRP/TREM1/BMP5/ZP3/PTN/GPR15LG/PDGFD/JAML/THY1/IL23A/P2RX4/EDNRB/CTSG/CHGA/BDKRB1/SMPD3/SPNS2/MMP28/CCL15/CCL23/EDN3/JAM2/HMOX1",36
"GO:0042476","odontogenesis","18/788","135/18903",1.29144709039952e-05,0.00115384117628454,0.000932841999961905,"CNNM4/EDAR/MSX1/LEF1/MSX2/TWIST1/INHBA/SHH/FGFR2/BMP4/JAG2/WDR72/SMPD3/SLC7A5/SP6/AXIN2/BMP2/BMP7",18
"GO:0010565","regulation of cellular ketone metabolic process","18/788","136/18903",1.43157260388056e-05,0.00125735749717103,0.00101653148321938,"FMO4/PROX1/FABP1/UGT1A8/CLCN2/PPARGC1A/SLC7A11/BMP6/BMP5/TWIST1/MLXIPL/DGAT2/APPL2/ACACB/BRCA1/SOX9/TRIB3/BMP2",18
"GO:0042180","cellular ketone metabolic process","24/788","218/18903",1.45697388677671e-05,0.00125833978021282,0.00101732562620549,"FMO4/PROX1/FABP1/DHRS9/UGT1A8/CLCN2/PPARGC1A/SLC7A11/BMP6/BMP5/TWIST1/MLXIPL/AKR1B10/AKR1C2/DGAT2/APPL2/ACACB/EDNRB/SCNN1B/HSD11B2/BRCA1/SOX9/TRIB3/BMP2",24
"GO:0051302","regulation of cell division","22/788","190/18903",1.48665314736991e-05,0.00126292403437227,0.00102103184236967,"CDC14A/TXNIP/ASPM/KIF14/ECT2/EREG/MACC1/PTN/SHH/MYC/GPR15LG/FGFR2/PDGFD/E2F7/BRCA2/KIF23/ORC6/CDC6/KAT2A/KIF18B/CDC25B/AURKA",22
"GO:0030323","respiratory tube development","22/788","191/18903",1.61556714190101e-05,0.00131332355301092,0.00106177816754016,"PDPN/HMGCS2/CHI3L1/PROX1/THRB/CLCN2/SLC7A11/ADAMTS2/PTK7/TCF21/WNT2/SHH/PCSK5/FGFR2/MMP12/BMP4/STRA6/SMPD3/SOX9/SIM2/LIF/CELSR1",22
"GO:0036293","response to decreased oxygen levels","30/788","309/18903",1.62032999972117e-05,0.00131332355301092,0.00106177816754016,"PLEKHN1/PINK1/SLC9A1/CLCA1/FABP1/EDNRA/ITGA2/STC2/SLC29A1/CITED2/TWIST1/HILPDA/ANGPT2/LOXL2/STC1/MYC/CA9/PLAU/ASCL2/ACVRL1/AJUBA/HSD11B2/ACAA2/PMAIP1/BCL2/BMP2/E2F1/BMP7/HMOX1/MB",30
"GO:0072507","divalent inorganic cation homeostasis","33/788","356/18903",1.62635121923087e-05,0.00131332355301092,0.00106177816754016,"CNNM4/SLC39A10/SLC11A1/CCR2/P2RY1/CXCL11/EDNRA/STC2/SCGN/SRI/STC1/JPH1/ANK3/CNNM2/THY1/SLC39A5/CYP27B1/BDKRB1/CEMIP/MT2A/MT1E/MT1M/MT1F/MT1G/MT1X/P2RX1/ATP2A3/CCL15/CCL23/BCL2/SLC25A23/EDN3/LIME1",33
"GO:0010718","positive regulation of epithelial to mesenchymal transition","11/788","56/18903",1.64735683029158e-05,0.00131332355301092,0.00106177816754016,"PDPN/LEF1/GCNT2/TWIST1/LOXL2/GLIPR2/BMP4/AXIN2/BMP2/SNAI1/BMP7",11
"GO:0071772","response to BMP","21/788","178/18903",1.73658275582043e-05,0.00134313012547186,0.00108587578447216,"GREM2/MSX1/LEF1/ADAMTS12/MSX2/BMP6/BMP5/SFRP4/VSTM2A/SULF1/PDCD4/ACVRL1/SLC39A5/BMP4/SMPD3/TMEM100/SOX9/GDF15/COMP/BMP2/BMP7",21
